MACHINE;LANE;STAGE;PRODUCT;TIMESTAMP;FID;FNAME;OUTPUT;SERIAL;PRODUCTID;TPickup;TPMiss;TRMiss;TDMiss;THMiss;TRSMiss;TMMiss
01;1;1;PTA635AA001_BA001_CA001_RSA635BA001_4;1377838859;135;20130830000059132-01-1-1-525488-A635BA      058840FZ38-3-A635BA-058840FZ38.U01;3;525488;233;87590;10;0;0;0;0;0
01;1;1;PTA635AA001_BA001_CA001_RSA635BA001_4;1377838906;93;20130830000146088-01-1-1-525489-A635BA      058850FZ38-3-A635BA-058850FZ38.U01;3;525489;233;87741;10;0;0;0;0;0
01;1;1;PTA635AA001_BA001_CA001_RSA635BA001_4;1377838949;404;20130830000229639-01-1-1-525490-A635BA      058860FZ38-3-A635BA-058860FZ38.U01;3;525490;233;87892;10;0;0;0;0;0
01;1;1;PTA635AA001_BA001_CA001_RSA635BA001_4;1377838992;140;20130830000312615-01-1-1-525491-A635BA      058870FZ38-3-A635BA-058870FZ38.U01;3;525491;233;88043;10;0;0;0;0;0
01;1;1;PTA635AA001_BA001_CA001_RSA635BA001_4;1377839036;346;20130830000356082-01-1-1-525492-A635BA      058880FZ38-3-A635BA-058880FZ38.U01;3;525492;233;88194;10;0;0;0;0;0
01;1;1;PTA635AA001_BA001_CA001_RSA635BA001_4;1377839075;193;20130830000435959-01-1-1-525493-A635BA      058690FZ38-3-A635BA-058690FZ38.U01;3;525493;233;88345;10;0;0;0;0;0
01;1;1;PTA635AA001_BA001_CA001_RSA635BA001_4;1377839127;326;20130830000527040-01-1-1-525494-A635BA      058700FZ38-3-A635BA-058700FZ38.U01;3;525494;233;88496;10;0;0;0;0;0
01;1;1;PTA635AA001_BA001_CA001_RSA635BA001_4;1377839181;751;20130830000621666-01-1-1-525495-A635BA      058710FZ38-3-A635BA-058710FZ38.U01;3;525495;233;88647;10;0;0;0;0;0
01;1;1;PTA635AA001_BA001_CA001_RSA635BA001_4;1377839222;564;20130830000702560-01-1-1-525496-A635BA      058720FZ38-3-A635BA-058720FZ38.U01;3;525496;233;88798;10;0;0;0;0;0
01;1;1;PTA635AA001_BA001_CA001_RSA635BA001_4;1377839263;916;20130830000743799-01-1-1-525497-A635BA      058730FZ38-3-A635BA-058730FZ38.U01;3;525497;233;88949;10;0;0;0;0;0
