FID;FTYPE;DATE;TIMESTAMP;MACHINE;LANE;STAGE;OUTPUT;MJSID;LOTNAME;LOTNUMBER;SERIAL;PRODUCTID;PRODUCT;FID;BNDRcgStop;BNDStop;Board;BRcgStop;Bwait;CDErr;CMErr;CnvStop;CPErr;CRErr;CTErr;Cwait;FBStop;Fwait;JointPassWait;JudgeStop;LotBoard;LotModule;McFwait;McRwait;MHRcgStop;Module;OtherLStop;OthrStop;Pwait;Rwait;SCEStop;SCStop;Swait;TDispense;TDMiss;THMiss;TMMiss;TPickup;TPMiss;TPriming;Trbl;TRMiss;TRSErr;TRSMiss
0;u01;20130830061456831;1377861296;01;1;1;3;PTA635AA001_BA001_CA001;RSA635BA001;4;525929;233;PTA635AA001_BA001_CA001_RSA635BA001_4;0;0;0;1021;0;0;0;0;0;0;0;0;0;0;50;0;0;1021;1021;11;957;0;1021;942;0;0;1269;1;5;0;0;0;0;0;154199;26;0;0;2;0;0
1;u01;20130830041457749;1377854097;01;1;1;3;PTA635AA001_BA001_CA001;RSA635BA001;4;525792;233;PTA635AA001_BA001_CA001_RSA635BA001_4;1;0;0;884;0;0;0;0;0;0;0;0;0;0;44;0;0;884;884;11;828;0;884;820;0;0;1086;0;2;0;0;0;0;0;133508;22;0;0;2;0;0
2;u01;20130830030542357;1377849942;01;2;1;3;PTA635AA001_BA001_CA001;RRA635BA001;3;525846;232;PTA635AA001_BA001_CA001_RRA635BA001_3;2;0;0;932;0;0;0;0;0;0;0;0;0;0;12;0;0;932;932;11;751;0;932;411;0;0;1126;0;2;0;0;0;4;0;176209;48;0;0;9;0;0
3;u01;20130830040218015;1377853338;01;2;1;3;PTA635AA001_BA001_CA001;RRA635BA001;3;525915;232;PTA635AA001_BA001_CA001_RRA635BA001_3;3;0;0;1001;0;0;0;0;0;0;0;0;0;0;12;0;0;1001;1001;11;808;0;1001;449;0;0;1216;0;2;0;0;0;4;0;189254;52;0;0;9;0;0
4;u01;20130830034852886;1377852532;01;1;1;3;PTA635AA001_BA001_CA001;RSA635BA001;4;525756;233;PTA635AA001_BA001_CA001_RSA635BA001_4;4;0;0;848;0;0;0;0;0;0;0;0;0;0;44;0;0;848;848;11;805;0;848;786;0;0;1031;0;2;0;0;0;0;0;128068;19;0;0;1;0;0
5;u01;20130830001902214;1377839942;01;2;1;3;PTA635AA001_BA001_CA001;RRA635BA001;3;525647;232;PTA635AA001_BA001_CA001_RRA635BA001_3;5;0;0;733;0;0;0;0;0;0;0;0;0;0;12;0;0;733;733;11;532;0;733;329;0;0;866;0;0;0;0;0;3;0;138587;41;0;0;6;0;0
6;u01;20130830031012750;1377850212;01;2;1;3;PTA635AA001_BA001_CA001;RRA635BA001;3;525852;232;PTA635AA001_BA001_CA001_RRA635BA001_3;6;0;0;938;0;0;0;0;0;0;0;0;0;0;12;0;0;938;938;11;760;0;938;413;0;0;1135;0;2;0;0;0;4;0;177343;48;0;0;9;0;0
7;u01;20130830000645323;1377839205;01;2;1;3;PTA635AA001_BA001_CA001;RRA635BA001;3;525635;232;PTA635AA001_BA001_CA001_RRA635BA001_3;7;0;0;721;0;0;0;0;0;0;0;0;0;0;12;0;0;721;721;11;514;0;721;326;0;0;850;0;0;0;0;0;3;0;136319;41;0;0;6;0;0
8;u01;20130830035853663;1377853133;01;2;1;3;PTA635AA001_BA001_CA001;RRA635BA001;3;525910;232;PTA635AA001_BA001_CA001_RRA635BA001_3;8;0;0;996;0;0;0;0;0;0;0;0;0;0;12;0;0;996;996;11;807;0;996;445;0;0;1209;0;2;0;0;0;4;0;188309;52;0;0;9;0;0
9;u01;20130830061018214;1377861018;01;2;1;3;PTA635AA001_BA001_CA001;RRA635BA001;3;526062;232;PTA635AA001_BA001_CA001_RRA635BA001_3;9;0;0;1148;0;0;0;0;0;0;0;0;0;0;12;0;0;1148;1148;11;947;0;1148;528;1;1;1398;0;5;0;0;0;4;0;217041;56;0;0;9;0;0
10;u01;20130830030156614;1377849716;01;2;1;3;PTA635AA001_BA001_CA001;RRA635BA001;3;525841;232;PTA635AA001_BA001_CA001_RRA635BA001_3;10;0;0;927;0;0;0;0;0;0;0;0;0;0;12;0;0;927;927;11;745;0;927;410;0;0;1120;0;2;0;0;0;4;0;175264;48;0;0;9;0;0
11;u01;20130830035311536;1377852791;01;2;1;3;PTA635AA001_BA001_CA001;RRA635BA001;3;525902;232;PTA635AA001_BA001_CA001_RRA635BA001_3;11;0;0;988;0;0;0;0;0;0;0;0;0;0;12;0;0;988;988;11;805;0;988;438;0;0;1199;0;2;0;0;0;4;0;186796;51;0;0;9;0;0
12;u01;20130830015343903;1377845623;01;1;1;3;PTA635AA001_BA001_CA001;RSA635BA001;4;525622;233;PTA635AA001_BA001_CA001_RSA635BA001_4;12;0;0;714;0;0;0;0;0;0;0;0;0;0;41;0;0;714;714;11;663;0;714;664;0;0;868;0;2;0;0;0;0;0;107830;15;0;0;1;0;0
