ALGORITHM_NAME,PHM_PATTERNS_SK,PARAMETER_NAME,PARAMETER_VALUE
Alinity IA Optics Dark Count,11111,THRESHOLDS_COUNT,1
Alinity IA Optics Dark Count,11111,TESTID,10
Alinity IA Optics Dark Count,11111,INTEGRATEDDARKCOUNT_MAX,543
Alinity IA Optics Dark Count,11111,INTEGRATEDDARKCOUNT_SD,110
Alinity IA Optics Dark Count,11111,IHN_LEVEL3_DESC,Alinity IA Optics Dark Count Bogus 1
Alinity IA Optics Dark Count,11111,THRESHOLD DESCRIPTION,Alinity IA Optics Dark Count Bogus 1
Alinity IA Optics Dark Count,11112,THRESHOLDS_COUNT,10
Alinity IA Optics Dark Count,11112,TESTID,10
Alinity IA Optics Dark Count,11112,INTEGRATEDDARKCOUNT_MAX,543
Alinity IA Optics Dark Count,11112,INTEGRATEDDARKCOUNT_SD,110
Alinity IA Optics Dark Count,11112,IHN_LEVEL3_DESC,Alinity IA Optics Dark Count Bogus 2
Alinity IA Optics Dark Count,11112,THRESHOLD DESCRIPTION,Alinity IA Optics Dark Count Bogus 2
Alinity IA Optics Dark Count,11113,THRESHOLDS_COUNT,100
Alinity IA Optics Dark Count,11113,TESTID,10
Alinity IA Optics Dark Count,11113,INTEGRATEDDARKCOUNT_MAX,543
Alinity IA Optics Dark Count,11113,INTEGRATEDDARKCOUNT_SD,110
Alinity IA Optics Dark Count,11113,IHN_LEVEL3_DESC,Alinity IA Optics Dark Count Bogus 3
Alinity IA Optics Dark Count,11113,THRESHOLD DESCRIPTION,Alinity IA Optics Dark Count Bogus 3
