ALGORITHM_NAME,PHM_PATTERNS_SK,PARAMETER_NAME,PARAMETER_VALUE
Alinity CC Cuvette Integrity Segment 1,11111,IHN_LEVEL3_DESC,Alinity CC Cuvette Integrity Segment 1
Alinity CC Cuvette Integrity Segment 1,11111,CUVETTEINTEGRITY_SEGMENT1,1
Alinity CC Cuvette Integrity Segment 1,11111,CUVETTEINTEGRITY_SEGMENT2,11
Alinity CC Cuvette Integrity Segment 1,11111,CUVETTEINTEGRITY_DISBEGAVG_MIN,20000
Alinity CC Cuvette Integrity Segment 1,11111,CUVETTEINTEGRITY_SAMPEVENTS_MIN,20
Alinity CC Cuvette Integrity Segment 1,11111,CUVETTEINTEGRITY_PERCSAMPEVENTS_MIN,0.2
Alinity CC Cuvette Integrity Segment 1,11111,CUVETTEINTEGRITY_NUMCUVETTES_MAX,8
Alinity CC Cuvette Integrity Segment 1,11111,THRESHOLDS_COUNT,1
Alinity CC Cuvette Integrity Segment 1,11111,THRESHOLD_DESCRIPTION,Alinity CC Cuvette Integrity Segment 1
Alinity CC Cuvette Integrity Segment 2,11112,IHN_LEVEL3_DESC,Alinity CC Cuvette Integrity Segment 2
Alinity CC Cuvette Integrity Segment 2,11112,CUVETTEINTEGRITY_SEGMENT1,12
Alinity CC Cuvette Integrity Segment 2,11112,CUVETTEINTEGRITY_SEGMENT2,22
Alinity CC Cuvette Integrity Segment 2,11112,CUVETTEINTEGRITY_DISBEGAVG_MIN,20000
Alinity CC Cuvette Integrity Segment 2,11112,CUVETTEINTEGRITY_SAMPEVENTS_MIN,20
Alinity CC Cuvette Integrity Segment 2,11112,CUVETTEINTEGRITY_PERCSAMPEVENTS_MIN,0.2
Alinity CC Cuvette Integrity Segment 2,11112,CUVETTEINTEGRITY_NUMCUVETTES_MAX,8
Alinity CC Cuvette Integrity Segment 2,11112,THRESHOLDS_COUNT,1
Alinity CC Cuvette Integrity Segment 2,11112,THRESHOLD_DESCRIPTION,Alinity CC Cuvette Integrity Segment 2
Alinity CC Cuvette Integrity Segment 3,11113,IHN_LEVEL3_DESC,Alinity CC Cuvette Integrity Segment 3
Alinity CC Cuvette Integrity Segment 3,11113,CUVETTEINTEGRITY_SEGMENT1,23
Alinity CC Cuvette Integrity Segment 3,11113,CUVETTEINTEGRITY_SEGMENT2,33
Alinity CC Cuvette Integrity Segment 3,11113,CUVETTEINTEGRITY_DISBEGAVG_MIN,20000
Alinity CC Cuvette Integrity Segment 3,11113,CUVETTEINTEGRITY_SAMPEVENTS_MIN,20
Alinity CC Cuvette Integrity Segment 3,11113,CUVETTEINTEGRITY_PERCSAMPEVENTS_MIN,0.2
Alinity CC Cuvette Integrity Segment 3,11113,CUVETTEINTEGRITY_NUMCUVETTES_MAX,8
Alinity CC Cuvette Integrity Segment 3,11113,THRESHOLDS_COUNT,1
Alinity CC Cuvette Integrity Segment 3,11113,THRESHOLD_DESCRIPTION,Alinity CC Cuvette Integrity Segment 3
Alinity CC Cuvette Integrity Segment 4,11114,IHN_LEVEL3_DESC,Alinity CC Cuvette Integrity Segment 4
Alinity CC Cuvette Integrity Segment 4,11114,CUVETTEINTEGRITY_SEGMENT1,34
Alinity CC Cuvette Integrity Segment 4,11114,CUVETTEINTEGRITY_SEGMENT2,44
Alinity CC Cuvette Integrity Segment 4,11114,CUVETTEINTEGRITY_DISBEGAVG_MIN,20000
Alinity CC Cuvette Integrity Segment 4,11114,CUVETTEINTEGRITY_SAMPEVENTS_MIN,20
Alinity CC Cuvette Integrity Segment 4,11114,CUVETTEINTEGRITY_PERCSAMPEVENTS_MIN,0.2
Alinity CC Cuvette Integrity Segment 4,11114,CUVETTEINTEGRITY_NUMCUVETTES_MAX,8
Alinity CC Cuvette Integrity Segment 4,11114,THRESHOLDS_COUNT,1
