SCRIPT: orig_chart7.sql
equipment_id	lane_no	stage_no	total_down_time	prev_proc_wait_time	next_proc_wait_time	singl_cycl_stop_time	chip_supp_wait_time	sldr_ctr_wait_time	sldr_snsr_wait_time	cln_paper_wait_time	brcg_time	cperr_count	dataedit	mente	othrstop_count	prodview	unitadjust	real_run_time	grand_total_in_hours	last_col
1012	1	1	29637	2379	25342	493	510	0	0	0	0	0	0	0	0	0	0	39096	27.071388	NULL
1012	1	2	30401	3481	20602	512	4514	0	0	0	0	0	0	0	0	0	0	46142	29.347777	NULL
1014	1	1	13628	4537	3614	14	3226	0	0	0	0	0	0	0	0	0	0	19786	12.445833	NULL
1014	1	2	40757	25961	4390	379	725	0	0	0	0	0	0	0	0	0	0	33615	29.396388	NULL
equipment_id	lane_no	stage_no	total_down_time	prev_proc_wait_time	next_proc_wait_time	singl_cycl_stop_time	chip_supp_wait_time	sldr_ctr_wait_time	sldr_snsr_wait_time	cln_paper_wait_time	brcg_time	cperr_count	dataedit	mente	othrstop_count	prodview	unitadjust	real_run_time	last_col
1012	1	1	781	498	7	3	0	0	0	0	0	0	0	0	0	0	0	502	NULL
1012	1	1	13917	1035	11867	254	156	0	0	0	0	0	0	0	0	0	0	21624	NULL
1014	1	1	12860	5658	273	167	3904	0	0	0	0	0	0	0	0	0	0	21449	NULL
1014	1	1	17998	7435	2789	240	1717	0	0	0	0	0	0	0	0	0	0	22508	NULL
equipment_id	lane_no	stage_no	total_down_time	prev_proc_wait_time	next_proc_wait_time	singl_cycl_stop_time	chip_supp_wait_time	sldr_ctr_wait_time	sldr_snsr_wait_time	cln_paper_wait_time	real_run_time	STATUS	report_file	equipment_id	lane_no	stage_no	total_down_time	prev_proc_wait_time	next_proc_wait_time	singl_cycl_stop_time	chip_supp_wait_time	sldr_ctr_wait_time	sldr_snsr_wait_time	cln_paper_wait_time	real_run_time	report_file	last_col
1012	1	1	7	1	6	0	0	0	0	0	419	OK	NULL	1012	1	1	7068	662	5651	106	156	0	0	0	11727	1422550826_8856_ManagementData.log	NULL
1012	1	1	313	3	305	5	0	0	0	0	181	OK	NULL	1012	1	1	7381	665	5956	111	156	0	0	0	11908	1422551952_8857_ManagementData.log	NULL
1012	1	1	236	0	236	0	0	0	0	0	97	OK	NULL	1012	1	1	7617	665	6192	111	156	0	0	0	12005	1422552286_8858_ManagementData.log	NULL
1012	1	1	200	0	197	3	0	0	0	0	283	OK	NULL	1012	1	1	7778	665	6350	114	156	0	0	0	12102	1422552914_8859_ManagementData.log	NULL
1012	1	1	200	0	197	3	0	0	0	0	283	OK	NULL	1012	1	1	7817	665	6389	114	156	0	0	0	12288	1422553138_8861_ManagementData.log	NULL
1012	1	1	200	0	197	3	0	0	0	0	283	OK	NULL	1012	1	1	7803	665	6375	114	156	0	0	0	12200	1422553036_8860_ManagementData.log	NULL
1012	1	1	142	0	142	0	0	0	0	0	186	OK	NULL	1012	1	1	7959	665	6531	114	156	0	0	0	12474	1422553466_8863_ManagementData.log	NULL
1012	1	1	142	0	142	0	0	0	0	0	186	OK	NULL	1012	1	1	7827	665	6399	114	156	0	0	0	12376	1422553358_8862_ManagementData.log	NULL
1012	1	1	43	2	41	0	0	0	0	0	261	OK	NULL	1012	1	1	7976	666	6547	114	156	0	0	0	12560	1422553569_8864_ManagementData.log	NULL
1012	1	1	43	2	41	0	0	0	0	0	261	OK	NULL	1012	1	1	7989	666	6560	114	156	0	0	0	12648	1422553670_8865_ManagementData.log	NULL
1012	1	1	43	2	41	0	0	0	0	0	261	OK	NULL	1012	1	1	8002	667	6572	114	156	0	0	0	12735	1422553769_8866_ManagementData.log	NULL
1012	1	1	30	3	27	0	0	0	0	0	181	OK	NULL	1012	1	1	8032	670	6599	114	156	0	0	0	12916	1422553982_8868_ManagementData.log	NULL
1012	1	1	30	3	27	0	0	0	0	0	181	OK	NULL	1012	1	1	8012	667	6582	114	156	0	0	0	12832	1422553878_8867_ManagementData.log	NULL
1012	1	1	158	6	152	0	0	0	0	0	169	OK	NULL	1012	1	1	8093	673	6657	114	156	0	0	0	13000	1422554125_8869_ManagementData.log	NULL
1012	1	1	158	6	152	0	0	0	0	0	169	OK	NULL	1012	1	1	8190	676	6751	114	156	0	0	0	13085	1422554308_8870_ManagementData.log	NULL
1012	1	1	26	5	21	0	0	0	0	0	181	OK	NULL	1012	1	1	8202	678	6761	114	156	0	0	0	13172	1422554407_8871_ManagementData.log	NULL
1012	1	1	26	5	21	0	0	0	0	0	181	OK	NULL	1012	1	1	8216	681	6772	114	156	0	0	0	13266	1422554515_8872_ManagementData.log	NULL
1012	1	1	228	5	223	0	0	0	0	0	171	OK	NULL	1012	1	1	8444	686	6995	114	156	0	0	0	13437	1422554914_8874_ManagementData.log	NULL
1012	1	1	228	5	223	0	0	0	0	0	171	OK	NULL	1012	1	1	8432	684	6985	114	156	0	0	0	13351	1422554814_8873_ManagementData.log	NULL
1012	1	1	121	8	113	0	0	0	0	0	254	OK	NULL	1012	1	1	8506	689	7054	114	156	0	0	0	13521	1422555062_8875_ManagementData.log	NULL
1012	1	1	121	8	113	0	0	0	0	0	254	OK	NULL	1012	1	1	8552	691	7098	114	156	0	0	0	13606	1422555190_8876_ManagementData.log	NULL
1012	1	1	121	8	113	0	0	0	0	0	254	OK	NULL	1012	1	1	8565	694	7108	114	156	0	0	0	13691	1422555288_8877_ManagementData.log	NULL
1012	1	1	47	9	38	0	0	0	0	0	264	OK	NULL	1012	1	1	8578	697	7118	114	156	0	0	0	13776	1422555386_8878_ManagementData.log	NULL
1012	1	1	47	9	38	0	0	0	0	0	264	OK	NULL	1012	1	1	8592	700	7129	114	156	0	0	0	13870	1422555498_8879_ManagementData.log	NULL
1012	1	1	47	9	38	0	0	0	0	0	264	OK	NULL	1012	1	1	8612	703	7146	114	156	0	0	0	13955	1422555598_8880_ManagementData.log	NULL
1012	1	1	39	9	30	0	0	0	0	0	254	OK	NULL	1012	1	1	8624	706	7155	114	156	0	0	0	14040	1422555698_8881_ManagementData.log	NULL
1012	1	1	39	9	30	0	0	0	0	0	254	OK	NULL	1012	1	1	8638	709	7166	114	156	0	0	0	14124	1422555795_8882_ManagementData.log	NULL
1012	1	1	39	9	30	0	0	0	0	0	254	OK	NULL	1012	1	1	8651	712	7176	114	156	0	0	0	14209	1422555894_8883_ManagementData.log	NULL
1012	1	1	29	6	23	0	0	0	0	0	169	OK	NULL	1012	1	1	8680	718	7199	114	156	0	0	0	14378	1422556092_8885_ManagementData.log	NULL
1012	1	1	29	6	23	0	0	0	0	0	169	OK	NULL	1012	1	1	8666	715	7188	114	156	0	0	0	14293	1422555993_8884_ManagementData.log	NULL
1012	1	1	85	1	46	38	0	0	0	0	282	OK	NULL	1012	1	1	8739	718	7220	152	156	0	0	0	14477	1422556554_8886_ManagementData.log	NULL
1012	1	1	85	1	46	38	0	0	0	0	282	OK	NULL	1012	1	1	8765	719	7245	152	156	0	0	0	14660	1422556759_8888_ManagementData.log	NULL
1012	1	1	85	1	46	38	0	0	0	0	282	OK	NULL	1012	1	1	8754	719	7234	152	156	0	0	0	14573	1422556662_8887_ManagementData.log	NULL
1012	1	1	378	0	351	0	0	0	0	0	188	OK	NULL	1012	1	1	9143	719	7596	152	156	0	0	0	14848	1422557325_8890_ManagementData.log	NULL
1012	1	1	378	0	351	0	0	0	0	0	188	OK	NULL	1012	1	1	8937	719	7390	152	156	0	0	0	14760	1422557228_8889_ManagementData.log	NULL
1012	1	1	23	2	21	0	0	0	0	0	189	OK	NULL	1012	1	1	9154	720	7606	152	156	0	0	0	14945	1422557434_8891_ManagementData.log	NULL
1012	1	1	23	2	21	0	0	0	0	0	189	OK	NULL	1012	1	1	9166	721	7617	152	156	0	0	0	15037	1422557628_8893_ManagementData.log	NULL
1012	1	1	23	2	21	0	0	0	0	0	189	OK	NULL	1012	1	1	9154	720	7606	152	156	0	0	0	14945	1422557531_8892_ManagementData.log	NULL
1012	1	1	14	0	14	0	0	0	0	0	281	OK	NULL	1012	1	1	9170	721	7621	152	156	0	0	0	15131	1422557726_8894_ManagementData.log	NULL
1012	1	1	14	0	14	0	0	0	0	0	281	OK	NULL	1012	1	1	9180	721	7631	152	156	0	0	0	15318	1422557925_8896_ManagementData.log	NULL
1012	1	1	14	0	14	0	0	0	0	0	281	OK	NULL	1012	1	1	9174	721	7625	152	156	0	0	0	15224	1422557827_8895_ManagementData.log	NULL
1012	1	1	13	3	10	0	0	0	0	0	291	OK	NULL	1012	1	1	9184	721	7635	152	156	0	0	0	15413	1422558022_8897_ManagementData.log	NULL
1012	1	1	13	3	10	0	0	0	0	0	291	OK	NULL	1012	1	1	9193	724	7641	152	156	0	0	0	15609	1422558228_8899_ManagementData.log	NULL
1012	1	1	13	3	10	0	0	0	0	0	291	OK	NULL	1012	1	1	9187	721	7638	152	156	0	0	0	15507	1422558131_8898_ManagementData.log	NULL
1012	1	1	13	1	12	0	0	0	0	0	283	OK	NULL	1012	1	1	9200	724	7648	152	156	0	0	0	15798	1422558328_8900_ManagementData.log	NULL
1012	1	1	13	1	12	0	0	0	0	0	283	OK	NULL	1012	1	1	9206	725	7653	152	156	0	0	0	15892	1422558523_8902_ManagementData.log	NULL
1012	1	1	13	1	12	0	0	0	0	0	283	OK	NULL	1012	1	1	9200	724	7648	152	156	0	0	0	15798	1422558425_8901_ManagementData.log	NULL
1012	1	1	33	3	30	0	0	0	0	0	278	OK	NULL	1012	1	1	9212	727	7657	152	156	0	0	0	15983	1422558621_8903_ManagementData.log	NULL
1012	1	1	33	3	30	0	0	0	0	0	278	OK	NULL	1012	1	1	9239	728	7683	152	156	0	0	0	16170	1422558833_8905_ManagementData.log	NULL
1012	1	1	33	3	30	0	0	0	0	0	278	OK	NULL	1012	1	1	9217	727	7662	152	156	0	0	0	16076	1422558735_8904_ManagementData.log	NULL
1012	1	1	9	1	8	0	0	0	0	0	283	OK	NULL	1012	1	1	9241	728	7685	152	156	0	0	0	16265	1422558931_8906_ManagementData.log	NULL
