machno filetype output label seconds
1 u01 3 copy_file 0.00702025763015075
2 u01 3 copy_file 0.00715273577322677
3 u01 3 copy_file 0.00621431907319486
4 u01 3 copy_file 0.00605710744641101
5 u01 3 copy_file 0.00567874217797443
5 u03 3 copy_file 0.00531298925
1 u03 4 copy_file 0.0119430392436805
2 u03 4 copy_file 0.0108501920190572
3 u03 4 copy_file 0.00803855900891972
4 u03 4 copy_file 0.00717051224035608
5 u03 4 copy_file 0.0056624197828233
1 u01 3 management_reset 8.67899497487437e-07
2 u01 3 management_reset 5.90632367632368e-07
3 u01 3 management_reset 6.70486646884273e-07
4 u01 3 management_reset 5.43948869223205e-07
5 u01 3 management_reset 5.11890855457227e-07
1 u01 3 postprocess_u0X_file 0.00741627741507538
2 u01 3 postprocess_u0X_file 0.00748636051448551
3 u01 3 postprocess_u0X_file 0.00729795543125618
4 u01 3 postprocess_u0X_file 0.00710892908751229
5 u01 3 postprocess_u0X_file 0.00666823424090462
5 u03 3 postprocess_u0X_file 0.006954536
1 u03 4 postprocess_u0X_file 0.00785209743377149
2 u03 4 postprocess_u0X_file 0.00791419142427282
3 u03 4 postprocess_u0X_file 0.00784512438354807
4 u03 4 postprocess_u0X_file 0.00768812265182987
5 u03 4 postprocess_u0X_file 0.00735289970878578
1 u01 3 preprocess_u0X_file 0.00924425852763819
2 u01 3 preprocess_u0X_file 0.00943250365034965
3 u01 3 preprocess_u0X_file 0.00837583180019782
4 u01 3 preprocess_u0X_file 0.00814826019665683
5 u01 3 preprocess_u0X_file 0.00769619089380531
5 u03 3 preprocess_u0X_file 0.00704973575
1 u03 4 preprocess_u0X_file 0.0141500086905966
2 u03 4 preprocess_u0X_file 0.0130650473540622
3 u03 4 preprocess_u0X_file 0.0101201175371655
4 u03 4 preprocess_u0X_file 0.0092289604272997
5 u03 4 preprocess_u0X_file 0.00756551056465943
5 u03 3 process_mount_log_file_data 0.009956846
1 u03 4 process_mount_log_file_data 0.154705783326593
2 u03 4 process_mount_log_file_data 0.133370945326981
3 u03 4 process_mount_log_file_data 0.0904521956342914
4 u03 4 process_mount_log_file_data 0.0634671576211672
5 u03 4 process_mount_log_file_data 0.0139225647778875
1 u01 3 process_u01_file 0.252548723894472
2 u01 3 process_u01_file 0.30776491746953
3 u01 3 process_u01_file 0.169625564862512
4 u01 3 process_u01_file 0.157678932234022
5 u01 3 process_u01_file 0.0602691561779744
5 u03 3 process_u03_file 0.0295289445
1 u03 4 process_u03_file 0.218860222467139
2 u03 4 process_u03_file 0.198620126381143
3 u03 4 process_u03_file 0.1348246818444
4 u03 4 process_u03_file 0.100323493704253
5 u03 4 process_u03_file 0.038234564071076
1 u01 3 prod_general_processing 0.0104787825497487
2 u01 3 prod_general_processing 0.0105489827522478
3 u01 3 prod_general_processing 0.0105895156142433
4 u01 3 prod_general_processing 0.0103976988377581
5 u01 3 prod_general_processing 0.0100181817138643
1 u01 3 prod_nozzle_processing 0.154325159609045
2 u01 3 prod_nozzle_processing 0.164064600693307
3 u01 3 prod_nozzle_processing 0.0348821732769535
4 u01 3 prod_nozzle_processing 0.0580730205250737
5 u01 3 prod_nozzle_processing 0.0119249490501475
1 u01 3 production_processing 0.243921371643216
2 u01 3 production_processing 0.297711869243756
3 u01 3 production_processing 0.161379183784372
4 u01 3 production_processing 0.150446297471976
5 u01 3 production_processing 0.0554196804473943
1 u01 3 prod_unitreel_processing 0.0788557564834171
2 u01 3 prod_unitreel_processing 0.122837642923077
3 u01 3 prod_unitreel_processing 0.115647038143422
4 u01 3 prod_unitreel_processing 0.0817497145811209
5 u01 3 prod_unitreel_processing 0.0301304168584071
1 u01 3 RH_process_trace_file_msg 0.274420677990955
2 u01 3 RH_process_trace_file_msg 0.329899426552448
3 u01 3 RH_process_trace_file_msg 0.190500777401583
4 u01 3 RH_process_trace_file_msg 0.177995317195674
5 u01 3 RH_process_trace_file_msg 0.0796853071120944
5 u03 3 RH_process_trace_file_msg 0.09071286975
1 u03 4 RH_process_trace_file_msg 0.290807037842265
2 u03 4 RH_process_trace_file_msg 0.269964020646941
3 u03 4 RH_process_trace_file_msg 0.204124469051536
4 u03 4 RH_process_trace_file_msg 0.167999395680514
5 u03 4 RH_process_trace_file_msg 0.101638115007897
1 u01 3 RH_process_u01_file_msg 0.274369404168844
2 u01 3 RH_process_u01_file_msg 0.329848971053946
3 u01 3 RH_process_u01_file_msg 0.190451860175074
4 u01 3 RH_process_u01_file_msg 0.177944707087512
5 u01 3 RH_process_u01_file_msg 0.0796287737207473
5 u03 3 RH_process_u03_file_msg 0.090688092
1 u03 4 RH_process_u03_file_msg 0.290767572869565
2 u03 4 RH_process_u03_file_msg 0.269925800605817
3 u03 4 RH_process_u03_file_msg 0.204087897311199
4 u03 4 RH_process_u03_file_msg 0.167962383660732
5 u03 4 RH_process_u03_file_msg 0.101605509944719
5 u03 3 trace_processing 0.0158093085
1 u03 4 trace_processing 0.158839041159757
2 u03 4 trace_processing 0.138201071824473
3 u03 4 trace_processing 0.0951723630396432
4 u03 4 trace_processing 0.0679363999376855
5 u03 4 trace_processing 0.0219456585143139
