START TABLE: nc_placement_detail
START METADATA:
table_name	field_name	is_identity	user_type_id	type_name	precision
NC_PLACEMENT_DETAIL	NC_PLACEMENT_ID	1	108	numeric	38
NC_PLACEMENT_DETAIL	IDNUM	0	108	numeric	38
NC_PLACEMENT_DETAIL	REF_DESIGNATOR	0	231	nvarchar	0
NC_PLACEMENT_DETAIL	PART_NAME	0	262	udt_part_no	0
NC_PLACEMENT_DETAIL	PATTERN_NUMBER	0	108	numeric	38
NC_PLACEMENT_DETAIL	NC_VERSION	0	108	numeric	38
NC_PLACEMENT_DETAIL	PATTERN_IDNUM	0	108	numeric	38
END METADATA:
START DATA:
NC_PLACEMENT_ID	IDNUM	REF_DESIGNATOR	PART_NAME	PATTERN_NUMBER	NC_VERSION	PATTERN_IDNUM
1000001	10	U1001	13E5-1001	1	148304	NULL
1000002	12	U1002	13E5-1002	1	148304	NULL
1000003	13	U1003	13E5-1003	1	148304	NULL
1000004	142	U1004	13E5-1004	1	148304	NULL
1000005	144	U1005	13E5-1005	1	148304	NULL
1000006	150	U1006	13E5-1006	1	148304	NULL
1000007	152	U1007	13E5-1007	1	148304	NULL
1000008	153	U1008	13E5-1008	1	148304	NULL
1000009	154	U1009	13E5-1009	1	148304	NULL
1000010	155	U1010	13E5-1010	1	148304	NULL
1000011	16	U1011	13E5-1011	1	148304	NULL
1000012	172	U1012	13E5-1012	1	148304	NULL
1000013	174	U1013	13E5-1013	1	148304	NULL
1000014	175	U1014	13E5-1014	1	148304	NULL
1000015	176	U1015	13E5-1015	1	148304	NULL
1000016	177	U1016	13E5-1016	1	148304	NULL
1000017	178	U1017	13E5-1017	1	148304	NULL
1000018	18	U1018	13E5-1018	1	148304	NULL
1000019	189	U1019	13E5-1019	1	148304	NULL
1000020	191	U1020	13E5-1020	1	148304	NULL
1000021	192	U1021	13E5-1021	1	148304	NULL
1000022	194	U1022	13E5-1022	1	148304	NULL
1000023	196	U1023	13E5-1023	1	148304	NULL
1000024	198	U1024	13E5-1024	1	148304	NULL
1000025	199	U1025	13E5-1025	1	148304	NULL
1000026	200	U1026	13E5-1026	1	148304	NULL
1000027	201	U1027	13E5-1027	1	148304	NULL
1000028	202	U1028	13E5-1028	1	148304	NULL
1000029	203	U1029	13E5-1029	1	148304	NULL
1000030	205	U1030	13E5-1030	1	148304	NULL
1000031	208	U1031	13E5-1031	1	148304	NULL
1000032	209	U1032	13E5-1032	1	148304	NULL
1000033	210	U1033	13E5-1033	1	148304	NULL
1000034	211	U1034	13E5-1034	1	148304	NULL
1000035	22	U1035	13E5-1035	1	148304	NULL
1000036	221	U1036	13E5-1036	1	148304	NULL
1000037	222	U1037	13E5-1037	1	148304	NULL
1000038	223	U1038	13E5-1038	1	148304	NULL
1000039	224	U1039	13E5-1039	1	148304	NULL
1000040	24	U1040	13E5-1040	1	148304	NULL
1000041	244	U1041	13E5-1041	1	148304	NULL
1000042	245	U1042	13E5-1042	1	148304	NULL
1000043	246	U1043	13E5-1043	1	148304	NULL
1000044	247	U1044	13E5-1044	1	148304	NULL
1000045	25	U1045	13E5-1045	1	148304	NULL
1000046	262	U1046	13E5-1046	1	148304	NULL
1000047	263	U1047	13E5-1047	1	148304	NULL
1000048	264	U1048	13E5-1048	1	148304	NULL
1000049	265	U1049	13E5-1049	1	148304	NULL
1000050	266	U1050	13E5-1050	1	148304	NULL
1000051	267	U1051	13E5-1051	1	148304	NULL
1000052	28	U1052	13E5-1052	1	148304	NULL
1000053	29	U1053	13E5-1053	1	148304	NULL
1000054	292	U1054	13E5-1054	1	148304	NULL
1000055	296	U1055	13E5-1055	1	148304	NULL
1000056	308	U1056	13E5-1056	1	148304	NULL
1000057	31	U1057	13E5-1057	1	148304	NULL
1000058	312	U1058	13E5-1058	1	148304	NULL
1000059	319	U1059	13E5-1059	1	148304	NULL
1000060	32	U1060	13E5-1060	1	148304	NULL
1000061	321	U1061	13E5-1061	1	148304	NULL
1000062	322	U1062	13E5-1062	1	148304	NULL
1000063	323	U1063	13E5-1063	1	148304	NULL
1000064	324	U1064	13E5-1064	1	148304	NULL
1000065	325	U1065	13E5-1065	1	148304	NULL
1000066	326	U1066	13E5-1066	1	148304	NULL
1000067	327	U1067	13E5-1067	1	148304	NULL
1000068	328	U1068	13E5-1068	1	148304	NULL
1000069	33	U1069	13E5-1069	1	148304	NULL
1000070	330	U1070	13E5-1070	1	148304	NULL
1000071	331	U1071	13E5-1071	1	148304	NULL
1000072	335	U1072	13E5-1072	1	148304	NULL
1000073	34	U1073	13E5-1073	1	148304	NULL
1000074	342	U1074	13E5-1074	1	148304	NULL
1000075	346	U1075	13E5-1075	1	148304	NULL
1000076	35	U1076	13E5-1076	1	148304	NULL
1000077	350	U1077	13E5-1077	1	148304	NULL
1000078	356	U1078	13E5-1078	1	148304	NULL
1000079	357	U1079	13E5-1079	1	148304	NULL
1000080	358	U1080	13E5-1080	1	148304	NULL
1000081	36	U1081	13E5-1081	1	148304	NULL
1000082	360	U1082	13E5-1082	1	148304	NULL
1000083	361	U1083	13E5-1083	1	148304	NULL
1000084	362	U1084	13E5-1084	1	148304	NULL
1000085	44	U1085	13E5-1085	1	148304	NULL
1000086	45	U1086	13E5-1086	1	148304	NULL
1000087	46	U1087	13E5-1087	1	148304	NULL
1000088	47	U1088	13E5-1088	1	148304	NULL
1000089	49	U1089	13E5-1089	1	148304	NULL
1000090	5	U1090	13E5-1090	1	148304	NULL
1000091	50	U1091	13E5-1091	1	148304	NULL
1000092	51	U1092	13E5-1092	1	148304	NULL
1000093	52	U1093	13E5-1093	1	148304	NULL
1000094	530	U1094	13E5-1094	1	148304	NULL
1000095	535	U1095	13E5-1095	1	148304	NULL
1000096	536	U1096	13E5-1096	1	148304	NULL
1000097	541	U1097	13E5-1097	1	148304	NULL
1000098	542	U1098	13E5-1098	1	148304	NULL
1000099	57	U1099	13E5-1099	1	148304	NULL
1000100	573	U1100	13E5-1100	1	148304	NULL
1000101	578	U1101	13E5-1101	1	148304	NULL
1000102	579	U1102	13E5-1102	1	148304	NULL
1000103	58	U1103	13E5-1103	1	148304	NULL
1000104	580	U1104	13E5-1104	1	148304	NULL
1000105	584	U1105	13E5-1105	1	148304	NULL
1000106	585	U1106	13E5-1106	1	148304	NULL
1000107	586	U1107	13E5-1107	1	148304	NULL
1000108	589	U1108	13E5-1108	1	148304	NULL
1000109	59	U1109	13E5-1109	1	148304	NULL
1000110	592	U1110	13E5-1110	1	148304	NULL
1000111	593	U1111	13E5-1111	1	148304	NULL
1000112	595	U1112	13E5-1112	1	148304	NULL
1000113	599	U1113	13E5-1113	1	148304	NULL
1000114	6	U1114	13E5-1114	1	148304	NULL
1000115	60	U1115	13E5-1115	1	148304	NULL
1000116	606	U1116	13E5-1116	1	148304	NULL
1000117	607	U1117	13E5-1117	1	148304	NULL
1000118	627	U1118	13E5-1118	1	148304	NULL
1000119	628	U1119	13E5-1119	1	148304	NULL
1000120	633	U1120	13E5-1120	1	148304	NULL
1000121	634	U1121	13E5-1121	1	148304	NULL
1000122	635	U1122	13E5-1122	1	148304	NULL
1000123	636	U1123	13E5-1123	1	148304	NULL
1000124	637	U1124	13E5-1124	1	148304	NULL
1000125	639	U1125	13E5-1125	1	148304	NULL
1000126	640	U1126	13E5-1126	1	148304	NULL
1000127	641	U1127	13E5-1127	1	148304	NULL
1000128	642	U1128	13E5-1128	1	148304	NULL
1000129	643	U1129	13E5-1129	1	148304	NULL
1000130	644	U1130	13E5-1130	1	148304	NULL
1000131	645	U1131	13E5-1131	1	148304	NULL
1000132	647	U1132	13E5-1132	1	148304	NULL
1000133	648	U1133	13E5-1133	1	148304	NULL
1000134	649	U1134	13E5-1134	1	148304	NULL
1000135	650	U1135	13E5-1135	1	148304	NULL
1000136	651	U1136	13E5-1136	1	148304	NULL
1000137	652	U1137	13E5-1137	1	148304	NULL
1000138	656	U1138	13E5-1138	1	148304	NULL
1000139	657	U1139	13E5-1139	1	148304	NULL
1000140	671	U1140	13E5-1140	1	148304	NULL
1000141	679	U1141	13E5-1141	1	148304	NULL
1000142	7	U1142	13E5-1142	1	148304	NULL
1000143	707	U1143	13E5-1143	1	148304	NULL
1000144	708	U1144	13E5-1144	1	148304	NULL
1000145	709	U1145	13E5-1145	1	148304	NULL
1000146	710	U1146	13E5-1146	1	148304	NULL
1000147	711	U1147	13E5-1147	1	148304	NULL
1000148	712	U1148	13E5-1148	1	148304	NULL
1000149	713	U1149	13E5-1149	1	148304	NULL
1000150	714	U1150	13E5-1150	1	148304	NULL
1000151	715	U1151	13E5-1151	1	148304	NULL
1000152	716	U1152	13E5-1152	1	148304	NULL
1000153	717	U1153	13E5-1153	1	148304	NULL
1000154	718	U1154	13E5-1154	1	148304	NULL
1000155	719	U1155	13E5-1155	1	148304	NULL
1000156	720	U1156	13E5-1156	1	148304	NULL
1000157	721	U1157	13E5-1157	1	148304	NULL
1000158	722	U1158	13E5-1158	1	148304	NULL
1000159	725	U1159	13E5-1159	1	148304	NULL
1000160	726	U1160	13E5-1160	1	148304	NULL
1000161	727	U1161	13E5-1161	1	148304	NULL
1000162	728	U1162	13E5-1162	1	148304	NULL
1000163	733	U1163	13E5-1163	1	148304	NULL
1000164	734	U1164	13E5-1164	1	148304	NULL
1000165	735	U1165	13E5-1165	1	148304	NULL
1000166	744	U1166	13E5-1166	1	148304	NULL
1000167	745	U1167	13E5-1167	1	148304	NULL
1000168	746	U1168	13E5-1168	1	148304	NULL
1000169	747	U1169	13E5-1169	1	148304	NULL
1000170	749	U1170	13E5-1170	1	148304	NULL
1000171	750	U1171	13E5-1171	1	148304	NULL
1000172	752	U1172	13E5-1172	1	148304	NULL
1000173	753	U1173	13E5-1173	1	148304	NULL
1000174	754	U1174	13E5-1174	1	148304	NULL
1000175	755	U1175	13E5-1175	1	148304	NULL
1000176	756	U1176	13E5-1176	1	148304	NULL
