START TABLE: nc_summary
START METADATA:
table_name	field_name	is_identity	user_type_id	type_name	precision
NC_SUMMARY	SETUP_ID	0	108	numeric	38
NC_SUMMARY	EQUIPMENT_ID	0	108	numeric	38
NC_SUMMARY	NC_VERSION	1	108	numeric	38
NC_SUMMARY	TVA	0	108	numeric	38
NC_SUMMARY	DOUBLE_FEEDER_FLAG	0	231	nvarchar	0
NC_SUMMARY	GLUE_TOTAL	0	108	numeric	38
NC_SUMMARY	SOLDER_TOTAL	0	108	numeric	38
END METADATA:
START DATA:
SETUP_ID	EQUIPMENT_ID	NC_VERSION	TVA	DOUBLE_FEEDER_FLAG	GLUE_TOTAL	SOLDER_TOTAL
5213	1010	44654	216	T	0	0
5213	1011	44655	176	T	0	0
5213	1012	44656	105	T	0	0
5213	1013	44657	48	T	0	0
5213	1014	44658	4	T	0	0
5215	1010	44659	170	T	0	0
5215	1011	44660	140	T	0	0
5215	1012	44661	95	T	0	0
5215	1013	44662	53	T	0	0
5215	1014	44663	7	T	0	0
5213	1010	48774	216	T	0	0
5213	1011	48775	176	T	0	0
5213	1012	48776	105	T	0	0
5213	1013	48777	48	T	0	0
5213	1014	48778	4	T	0	0
5215	1010	48779	170	T	0	0
5215	1011	48780	140	T	0	0
5215	1012	48781	95	T	0	0
5215	1013	48782	53	T	0	0
5215	1014	48783	7	T	0	0
6973	1010	68934	196	T	0	0
6973	1011	68935	183	T	0	0
6973	1012	68936	104	T	0	0
6973	1013	68937	44	T	0	0
6973	1014	68938	5	T	0	0
6975	1010	68939	161	T	0	0
6975	1011	68940	145	T	0	0
6975	1012	68941	86	T	0	0
6975	1013	68942	40	T	0	0
6975	1014	68943	13	T	0	0
6973	1010	68944	196	T	0	0
6973	1011	68945	183	T	0	0
6973	1012	68946	104	T	0	0
6973	1013	68947	44	T	0	0
6973	1014	68948	5	T	0	0
6975	1010	68949	161	T	0	0
6975	1011	68950	145	T	0	0
6975	1012	68951	86	T	0	0
6975	1013	68952	40	T	0	0
6975	1014	68953	13	T	0	0
6745	1010	68994	237	T	0	0
6745	1011	68995	237	T	0	0
6745	1012	68996	141	T	0	0
6745	1013	68997	79	T	0	0
6745	1014	68998	5	T	0	0
6747	1010	68999	179	T	0	0
6747	1011	69000	147	T	0	0
6747	1012	69001	85	T	0	0
6747	1013	69002	53	T	0	0
6747	1014	69003	11	T	0	0
6749	1010	69004	237	T	0	0
6749	1011	69005	230	T	0	0
6749	1012	69006	141	T	0	0
6749	1013	69007	78	T	0	0
6749	1014	69008	6	T	0	0
6751	1010	69009	177	T	0	0
6751	1011	69010	142	T	0	0
6751	1012	69011	77	T	0	0
6751	1013	69012	54	T	0	0
6751	1014	69013	11	T	0	0
6745	1010	69024	237	T	0	0
6745	1011	69025	237	T	0	0
6745	1012	69026	141	T	0	0
6745	1013	69027	79	T	0	0
6745	1014	69028	5	T	0	0
6747	1010	69029	179	T	0	0
6747	1011	69030	147	T	0	0
6747	1012	69031	85	T	0	0
6747	1013	69032	53	T	0	0
6747	1014	69033	11	T	0	0
6749	1010	69034	237	T	0	0
6749	1011	69035	230	T	0	0
6749	1012	69036	141	T	0	0
6749	1013	69037	78	T	0	0
6749	1014	69038	6	T	0	0
6751	1010	69039	177	T	0	0
6751	1011	69040	142	T	0	0
6751	1012	69041	77	T	0	0
6751	1013	69042	54	T	0	0
6751	1014	69043	11	T	0	0
5363	1010	72264	282	T	0	0
5363	1011	72265	269	T	0	0
5363	1012	72266	162	T	0	0
5363	1013	72267	70	T	0	0
5363	1014	72268	4	T	0	0
5365	1010	72269	161	T	0	0
5365	1011	72270	164	T	0	0
5365	1012	72271	76	T	0	0
5365	1013	72272	26	T	0	0
5365	1014	72273	9	T	0	0
6945	1010	77694	180	T	0	0
6945	1011	77695	196	T	0	0
6945	1012	77696	96	T	0	0
6945	1013	77697	66	T	0	0
6945	1014	77698	6	T	0	0
6947	1010	77699	112	T	0	0
6947	1011	77700	170	T	0	0
6947	1012	77701	106	T	0	0
6947	1013	77702	56	T	0	0
6947	1014	77703	6	T	0	0
6945	1010	78744	180	T	0	0
6945	1011	78745	196	T	0	0
6945	1012	78746	96	T	0	0
6945	1013	78747	66	T	0	0
6945	1014	78748	6	T	0	0
6947	1010	78749	112	T	0	0
6947	1011	78750	170	T	0	0
6947	1012	78751	106	T	0	0
6947	1013	78752	56	T	0	0
6947	1014	78753	6	T	0	0
16361	1010	78874	180	T	0	0
16361	1011	78875	196	T	0	0
16361	1012	78876	96	T	0	0
16361	1013	78877	66	T	0	0
16361	1014	78878	6	T	0	0
16363	1010	78879	112	T	0	0
16363	1011	78880	170	T	0	0
16363	1012	78881	106	T	0	0
16363	1013	78882	56	T	0	0
16363	1014	78883	6	T	0	0
16365	1010	79284	180	T	0	0
16365	1011	79285	196	T	0	0
16365	1012	79286	96	T	0	0
16365	1013	79287	66	T	0	0
16365	1014	79288	6	T	0	0
16367	1010	79289	112	T	0	0
16367	1011	79290	170	T	0	0
16367	1012	79291	106	T	0	0
16367	1013	79292	56	T	0	0
16367	1014	79293	6	T	0	0
16369	1010	79294	180	T	0	0
16369	1011	79295	196	T	0	0
16369	1012	79296	96	T	0	0
16369	1013	79297	66	T	0	0
16369	1014	79298	6	T	0	0
16371	1010	79299	112	T	0	0
16371	1011	79300	170	T	0	0
16371	1012	79301	106	T	0	0
16371	1013	79302	56	T	0	0
16371	1014	79303	6	T	0	0
16373	1010	79304	174	T	0	0
16373	1011	79305	212	T	0	0
16373	1012	79306	94	T	0	0
16373	1013	79307	70	T	0	0
16373	1014	79308	6	T	0	0
16375	1010	79309	104	T	0	0
16375	1011	79310	160	T	0	0
16375	1012	79311	90	T	0	0
16375	1013	79312	48	T	0	0
16375	1014	79313	6	T	0	0
16361	1010	79334	180	T	0	0
16361	1011	79335	196	T	0	0
16361	1012	79336	96	T	0	0
16361	1013	79337	66	T	0	0
16361	1014	79338	6	T	0	0
16363	1010	79339	112	T	0	0
16363	1011	79340	170	T	0	0
16363	1012	79341	106	T	0	0
16363	1013	79342	56	T	0	0
16363	1014	79343	6	T	0	0
16365	1010	79344	180	T	0	0
16365	1011	79345	196	T	0	0
16365	1012	79346	96	T	0	0
16365	1013	79347	66	T	0	0
16365	1014	79348	6	T	0	0
16367	1010	79349	112	T	0	0
16367	1011	79350	170	T	0	0
16367	1012	79351	106	T	0	0
16367	1013	79352	56	T	0	0
16367	1014	79353	6	T	0	0
16369	1010	79354	180	T	0	0
16369	1011	79355	196	T	0	0
16369	1012	79356	96	T	0	0
16369	1013	79357	66	T	0	0
16369	1014	79358	6	T	0	0
16371	1010	79359	112	T	0	0
16371	1011	79360	170	T	0	0
16371	1012	79361	106	T	0	0
16371	1013	79362	56	T	0	0
16371	1014	79363	6	T	0	0
16373	1010	79364	174	T	0	0
16373	1011	79365	212	T	0	0
16373	1012	79366	94	T	0	0
16373	1013	79367	70	T	0	0
16373	1014	79368	6	T	0	0
16375	1010	79369	104	T	0	0
16375	1011	79370	160	T	0	0
16375	1012	79371	90	T	0	0
16375	1013	79372	48	T	0	0
16375	1014	79373	6	T	0	0
14003	1010	79694	223	T	0	0
14003	1011	79695	234	T	0	0
14003	1012	79696	118	T	0	0
14003	1013	79697	64	T	0	0
14003	1014	79698	4	T	0	0
14005	1010	79699	173	T	0	0
14005	1011	79700	164	T	0	0
14005	1012	79701	107	T	0	0
14005	1013	79702	67	T	0	0
14005	1014	79703	13	T	0	0
14007	1010	79704	222	T	0	0
14007	1011	79705	241	T	0	0
