START TABLE: panel_barcode_map
START METADATA:
table_name	field_name	is_identity	user_type_id	type_name	precision
PANEL_BARCODE_MAP	MODULE_ID	0	108	numeric	38
PANEL_BARCODE_MAP	PANEL_ID	0	108	numeric	38
PANEL_BARCODE_MAP	PANEL_ID_STRING	0	231	nvarchar	0
PANEL_BARCODE_MAP	TIMESTAMP	0	108	numeric	38
PANEL_BARCODE_MAP	LANE_NO	0	108	numeric	38
PANEL_BARCODE_MAP	SETUP_ID	0	108	numeric	38
END METADATA:
START DATA:
MODULE_ID	PANEL_ID	PANEL_ID_STRING	TIMESTAMP	LANE_NO	SETUP_ID
END DATA:
END TABLE: panel_barcode_map
