START TABLE: panels
START METADATA:
table_name	field_name	is_identity	user_type_id	type_name	precision
PANELS	PANEL_ID	0	108	numeric	38
PANELS	EQUIPMENT_ID	0	108	numeric	38
PANELS	NC_VERSION	0	108	numeric	38
PANELS	START_TIME	0	108	numeric	38
PANELS	END_TIME	0	108	numeric	38
PANELS	PANEL_EQUIPMENT_ID	1	108	numeric	38
PANELS	PANEL_SOURCE	0	108	numeric	38
PANELS	PANEL_TRACE	0	108	numeric	38
PANELS	STAGE_NO	0	108	numeric	38
PANELS	LANE_NO	0	108	numeric	38
PANELS	JOB_ID	0	108	numeric	38
PANELS	SETUP_ID	0	56	int	10
PANELS	TRX_PRODUCT_ID	0	231	nvarchar	0
PANELS	HUMIDITY	0	108	numeric	38
PANELS	TEMPERATURE	0	108	numeric	38
END METADATA:
START DATA:
PANEL_ID	EQUIPMENT_ID	NC_VERSION	START_TIME	END_TIME	PANEL_EQUIPMENT_ID	PANEL_SOURCE	PANEL_TRACE	STAGE_NO	LANE_NO	JOB_ID	SETUP_ID	TRX_PRODUCT_ID	HUMIDITY	TEMPERATURE
1190992	1010	148294	1377838840	1377838840	1000	2	2	1	2	NULL	17254	20130830000040152-01-1-2-525627--4--525627.u03	0	0
1190993	1010	148299	1377838859	1377838859	1001	2	2	1	1	NULL	17256	20130830000059157-01-1-1-525488-A635BA      058840FZ38-4-A635BA-058840FZ38.u03	0	0
1190994	1010	148294	1377838888	1377838888	1002	2	2	1	2	NULL	17254	20130830000128904-01-1-2-525628--4--525628.u03	0	0
1190995	1010	148299	1377838906	1377838906	1003	2	2	1	1	NULL	17256	20130830000146113-01-1-1-525489-A635BA      058850FZ38-4-A635BA-058850FZ38.u03	0	0
1190996	1010	148294	1377838932	1377838932	1004	2	2	1	2	NULL	17254	20130830000212425-01-1-2-525629--4--525629.u03	0	0
1190997	1010	148299	1377838949	1377838949	1005	2	2	1	1	NULL	17256	20130830000229663-01-1-1-525490-A635BA      058860FZ38-4-A635BA-058860FZ38.u03	0	0
1190998	1010	148294	1377838975	1377838975	1006	2	2	1	2	NULL	17254	20130830000255282-01-1-2-525630--4--525630.u03	0	0
1190999	1010	148299	1377838992	1377838992	1007	2	2	1	1	NULL	17256	20130830000312640-01-1-1-525491-A635BA      058870FZ38-4-A635BA-058870FZ38.u03	0	0
1191000	1010	148294	1377839017	1377839017	1008	2	2	1	2	NULL	17254	20130830000337509-01-1-2-525631--4--525631.u03	0	0
1191001	1010	148299	1377839036	1377839036	1009	2	2	1	1	NULL	17256	20130830000356107-01-1-1-525492-A635BA      058880FZ38-4-A635BA-058880FZ38.u03	0	0
1191002	1010	148294	1377839058	1377839058	1010	2	2	1	2	NULL	17254	20130830000418770-01-1-2-525632--4--525632.u03	0	0
1191003	1010	148299	1377839075	1377839075	1011	2	2	1	1	NULL	17256	20130830000435983-01-1-1-525493-A635BA      058690FZ38-4-A635BA-058690FZ38.u03	0	0
1191004	1010	148294	1377839109	1377839109	1012	2	2	1	2	NULL	17254	20130830000509204-01-1-2-525633--4--525633.u03	0	0
1191005	1010	148299	1377839127	1377839127	1013	2	2	1	1	NULL	17256	20130830000527064-01-1-1-525494-A635BA      058700FZ38-4-A635BA-058700FZ38.u03	0	0
1191006	1010	148294	1377839164	1377839164	1014	2	2	1	2	NULL	17254	20130830000604435-01-1-2-525634--4--525634.u03	0	0
1191007	1010	148299	1377839181	1377839181	1015	2	2	1	1	NULL	17256	20130830000621693-01-1-1-525495-A635BA      058710FZ38-4-A635BA-058710FZ38.u03	0	0
1191008	1010	148294	1377839205	1377839205	1016	2	2	1	2	NULL	17254	20130830000645341-01-1-2-525635--4--525635.u03	0	0
1191009	1010	148299	1377839222	1377839222	1017	2	2	1	1	NULL	17256	20130830000702586-01-1-1-525496-A635BA      058720FZ38-4-A635BA-058720FZ38.u03	0	0
1191010	1010	148294	1377839246	1377839246	1018	2	2	1	2	NULL	17254	20130830000726583-01-1-2-525636--4--525636.u03	0	0
1191011	1010	148299	1377839263	1377839263	1019	2	2	1	1	NULL	17256	20130830000743824-01-1-1-525497-A635BA      058730FZ38-4-A635BA-058730FZ38.u03	0	0
1191012	1010	148294	1377839305	1377839305	1020	2	2	1	2	NULL	17254	20130830000825434-01-1-2-525637--4--525637.u03	0	0
1191013	1010	148299	1377839322	1377839322	1021	2	2	1	1	NULL	17256	20130830000842757-01-1-1-525498-A635BA      058740FZ38-4-A635BA-058740FZ38.u03	0	0
1191014	1010	148294	1377839347	1377839347	1022	2	2	1	2	NULL	17254	20130830000907525-01-1-2-525638--4--525638.u03	0	0
1191015	1010	148299	1377839364	1377839364	1023	2	2	1	1	NULL	17256	20130830000924775-01-1-1-525499-A635BA      058750FZ38-4-A635BA-058750FZ38.u03	0	0
