START TABLE: tracking_data
START METADATA:
table_name	field_name	is_identity	user_type_id	type_name	precision
TRACKING_DATA	SERIAL_NO	0	231	nvarchar	0
TRACKING_DATA	PROD_MODEL_NO	0	231	nvarchar	0
TRACKING_DATA	PANEL_ID	0	108	numeric	38
TRACKING_DATA	PATTERN_ID	0	108	numeric	38
TRACKING_DATA	BARCODE	0	231	nvarchar	0
TRACKING_DATA	SETUP_ID	0	108	numeric	38
TRACKING_DATA	TOP_BOTTOM	0	231	nvarchar	0
TRACKING_DATA	TIMESTAMP	0	56	int	10
TRACKING_DATA	IMPORT_FLAG	0	56	int	10
END METADATA:
START DATA:
SERIAL_NO	PROD_MODEL_NO	PANEL_ID	PATTERN_ID	BARCODE	SETUP_ID	TOP_BOTTOM	TIMESTAMP	IMPORT_FLAG
525627	 	1190992	1190988	 	17254	T	1452272647	0
058840FZ38	A635BA	1190993	1190989	A635BA      058840FZ38	17256	T	1452272647	0
525628	 	1190994	1190990	 	17254	T	1452272648	0
058850FZ38	A635BA	1190995	1190991	A635BA      058850FZ38	17256	T	1452272648	0
525629	 	1190996	1190992	 	17254	T	1452272648	0
058860FZ38	A635BA	1190997	1190993	A635BA      058860FZ38	17256	T	1452272649	0
525630	 	1190998	1190994	 	17254	T	1452272649	0
058870FZ38	A635BA	1190999	1190995	A635BA      058870FZ38	17256	T	1452272649	0
525631	 	1191000	1190996	 	17254	T	1452272650	0
058880FZ38	A635BA	1191001	1190997	A635BA      058880FZ38	17256	T	1452272650	0
525632	 	1191002	1190998	 	17254	T	1452272650	0
058690FZ38	A635BA	1191003	1190999	A635BA      058690FZ38	17256	T	1452272651	0
525633	 	1191004	1191000	 	17254	T	1452272651	0
058700FZ38	A635BA	1191005	1191001	A635BA      058700FZ38	17256	T	1452272651	0
525634	 	1191006	1191002	 	17254	T	1452272652	0
058710FZ38	A635BA	1191007	1191003	A635BA      058710FZ38	17256	T	1452272652	0
525635	 	1191008	1191004	 	17254	T	1452272652	0
058720FZ38	A635BA	1191009	1191005	A635BA      058720FZ38	17256	T	1452272653	0
525636	 	1191010	1191006	 	17254	T	1452272653	0
058730FZ38	A635BA	1191011	1191007	A635BA      058730FZ38	17256	T	1452272653	0
525637	 	1191012	1191008	 	17254	T	1452272653	0
058740FZ38	A635BA	1191013	1191009	A635BA      058740FZ38	17256	T	1452272654	0
525638	 	1191014	1191010	 	17254	T	1452272654	0
058750FZ38	A635BA	1191015	1191011	A635BA      058750FZ38	17256	T	1452272654	0
525639	 	1191016	1191012	 	17254	T	1452272655	0
058760FZ38	A635BA	1191017	1191013	A635BA      058760FZ38	17256	T	1452272655	0
525640	 	1191018	1191014	 	17254	T	1452272655	0
058770FZ38	A635BA	1191019	1191015	A635BA      058770FZ38	17256	T	1452272656	0
525641	 	1191020	1191016	 	17254	T	1452272656	0
058780FZ38	A635BA	1191021	1191017	A635BA      058780FZ38	17256	T	1452272656	0
525624	 	1191022	1191018	 	17254	T	1452272671	0
058800FZ38	A635BA	1191023	1191019	A635BA      058800FZ38	17256	T	1452272672	0
525625	 	1191024	1191020	 	17254	T	1452272672	0
058820FZ38	A635BA	1191025	1191021	A635BA      058820FZ38	17256	T	1452272672	0
525626	 	1191026	1191022	 	17254	T	1452272673	0
058830FZ38	A635BA	1191027	1191023	A635BA      058830FZ38	17256	T	1452272673	0
525620	 	1191028	1191024	 	17254	T	1452272692	0
057470FZ38	A635BA	1191029	1191025	A635BA      057470FZ38	17256	T	1452272692	0
525621	 	1191030	1191026	 	17254	T	1452272693	0
