START TABLE: z_cass_npm_hdr_by_board
START METADATA:
table_name	field_name	is_identity	user_type_id	type_name	precision
Z_CASS_NPM_HDR_BY_BOARD	REPORT_ID	0	108	numeric	38
Z_CASS_NPM_HDR_BY_BOARD	PRODUCT_ID	0	108	numeric	38
Z_CASS_NPM_HDR_BY_BOARD	EQUIPMENT_ID	0	108	numeric	38
Z_CASS_NPM_HDR_BY_BOARD	START_TIME	0	108	numeric	38
Z_CASS_NPM_HDR_BY_BOARD	END_TIME	0	108	numeric	38
Z_CASS_NPM_HDR_BY_BOARD	SETUP_ID	0	108	numeric	38
Z_CASS_NPM_HDR_BY_BOARD	NC_VERSION	0	108	numeric	38
Z_CASS_NPM_HDR_BY_BOARD	LANE_NO	0	108	numeric	38
Z_CASS_NPM_HDR_BY_BOARD	JOB_ID	0	108	numeric	38
Z_CASS_NPM_HDR_BY_BOARD	TRX_PRODUCTID	0	231	nvarchar	0
Z_CASS_NPM_HDR_BY_BOARD	STAGE	0	108	numeric	38
Z_CASS_NPM_HDR_BY_BOARD	TIMESTAMP	0	108	numeric	38
Z_CASS_NPM_HDR_BY_BOARD	PREV_REPORT_ID	0	56	int	10
END METADATA:
START DATA:
REPORT_ID	PRODUCT_ID	EQUIPMENT_ID	START_TIME	END_TIME	SETUP_ID	NC_VERSION	LANE_NO	JOB_ID	TRX_PRODUCTID	STAGE	TIMESTAMP	PREV_REPORT_ID
1002	1769	1010	1377838840	1377838888	17254	148294	2	-1	20130830000128886-01-1-2-525628--3--525628.u01	1	1377838888	1000
1003	1770	1010	1377838859	1377838906	17256	148299	1	-1	20130830000146088-01-1-1-525489-A635BA      058850FZ38-3-A635BA-058850FZ38.u01	1	1377838906	1001
1004	1769	1010	1377838888	1377838932	17254	148294	2	-1	20130830000212407-01-1-2-525629--3--525629.u01	1	1377838932	1002
1005	1770	1010	1377838906	1377838949	17256	148299	1	-1	20130830000229639-01-1-1-525490-A635BA      058860FZ38-3-A635BA-058860FZ38.u01	1	1377838949	1003
1006	1769	1010	1377838932	1377838975	17254	148294	2	-1	20130830000255264-01-1-2-525630--3--525630.u01	1	1377838975	1004
1007	1770	1010	1377838949	1377838992	17256	148299	1	-1	20130830000312615-01-1-1-525491-A635BA      058870FZ38-3-A635BA-058870FZ38.u01	1	1377838992	1005
1008	1769	1010	1377838975	1377839017	17254	148294	2	-1	20130830000337491-01-1-2-525631--3--525631.u01	1	1377839017	1006
1009	1770	1010	1377838992	1377839036	17256	148299	1	-1	20130830000356082-01-1-1-525492-A635BA      058880FZ38-3-A635BA-058880FZ38.u01	1	1377839036	1007
1010	1769	1010	1377839017	1377839058	17254	148294	2	-1	20130830000418752-01-1-2-525632--3--525632.u01	1	1377839058	1008
1011	1770	1010	1377839036	1377839075	17256	148299	1	-1	20130830000435959-01-1-1-525493-A635BA      058690FZ38-3-A635BA-058690FZ38.u01	1	1377839075	1009
1012	1769	1010	1377839058	1377839109	17254	148294	2	-1	20130830000509185-01-1-2-525633--3--525633.u01	1	1377839109	1010
1013	1770	1010	1377839075	1377839127	17256	148299	1	-1	20130830000527040-01-1-1-525494-A635BA      058700FZ38-3-A635BA-058700FZ38.u01	1	1377839127	1011
1014	1769	1010	1377839109	1377839164	17254	148294	2	-1	20130830000604416-01-1-2-525634--3--525634.u01	1	1377839164	1012
1015	1770	1010	1377839127	1377839181	17256	148299	1	-1	20130830000621666-01-1-1-525495-A635BA      058710FZ38-3-A635BA-058710FZ38.u01	1	1377839181	1013
1016	1769	1010	1377839164	1377839205	17254	148294	2	-1	20130830000645323-01-1-2-525635--3--525635.u01	1	1377839205	1014
1017	1770	1010	1377839181	1377839222	17256	148299	1	-1	20130830000702560-01-1-1-525496-A635BA      058720FZ38-3-A635BA-058720FZ38.u01	1	1377839222	1015
1018	1769	1010	1377839205	1377839246	17254	148294	2	-1	20130830000726565-01-1-2-525636--3--525636.u01	1	1377839246	1016
1019	1770	1010	1377839222	1377839263	17256	148299	1	-1	20130830000743799-01-1-1-525497-A635BA      058730FZ38-3-A635BA-058730FZ38.u01	1	1377839263	1017
1020	1769	1010	1377839246	1377839305	17254	148294	2	-1	20130830000825416-01-1-2-525637--3--525637.u01	1	1377839305	1018
1021	1770	1010	1377839263	1377839322	17256	148299	1	-1	20130830000842733-01-1-1-525498-A635BA      058740FZ38-3-A635BA-058740FZ38.u01	1	1377839322	1019
1022	1769	1010	1377839305	1377839347	17254	148294	2	-1	20130830000907507-01-1-2-525638--3--525638.u01	1	1377839347	1020
1023	1770	1010	1377839322	1377839364	17256	148299	1	-1	20130830000924751-01-1-1-525499-A635BA      058750FZ38-3-A635BA-058750FZ38.u01	1	1377839364	1021
1024	1769	1010	1377839347	1377839393	17254	148294	2	-1	20130830000953945-01-1-2-525639--3--525639.u01	1	1377839393	1022
1025	1770	1010	1377839364	1377839411	17256	148299	1	-1	20130830001011341-01-1-1-525500-A635BA      058760FZ38-3-A635BA-058760FZ38.u01	1	1377839411	1023
1026	1769	1010	1377839393	1377839434	17254	148294	2	-1	20130830001034979-01-1-2-525640--3--525640.u01	1	1377839434	1024
1027	1770	1010	1377839411	1377839497	17256	148299	1	-1	20130830001137973-01-1-1-525501-A635BA      058770FZ38-3-A635BA-058770FZ38.u01	1	1377839497	1025
1028	1769	1010	1377839434	1377839619	17254	148294	2	-1	20130830001339872-01-1-2-525641--3--525641.u01	1	1377839619	1026
1029	1770	1010	1377839497	1377839638	17256	148299	1	-1	20130830001358579-01-1-1-525502-A635BA      058780FZ38-3-A635BA-058780FZ38.u01	1	1377839638	1027
1032	1769	1011	1377838839	1377838887	17254	148295	2	-1	20130830000127943-02-1-2-525625--3--525625.u01	1	1377838887	1030
1033	1770	1011	1377838858	1377838906	17256	148300	1	-1	20130830000146222-02-1-1-525486-A635BA      058820FZ38-3-A635BA-058820FZ38.u01	1	1377838906	1031
1034	1769	1011	1377838887	1377838939	17254	148295	2	-1	20130830000219575-02-1-2-525626--3--525626.u01	1	1377838939	1032
1035	1770	1011	1377838906	1377838958	17256	148300	1	-1	20130830000238785-02-1-1-525487-A635BA      058830FZ38-3-A635BA-058830FZ38.u01	1	1377838958	1033
1036	1769	1011	1377838939	1377838986	17254	148295	2	-1	20130830000306821-02-1-2-525627--3--525627.u01	1	1377838986	1034
1037	1770	1011	1377838958	1377839005	17256	148300	1	-1	20130830000325064-02-1-1-525488-A635BA      058840FZ38-3-A635BA-058840FZ38.u01	1	1377839005	1035
1038	1769	1011	1377838986	1377839027	17254	148295	2	-1	20130830000347389-02-1-2-525628--3--525628.u01	1	1377839027	1036
1039	1770	1011	1377839005	1377839045	17256	148300	1	-1	20130830000405651-02-1-1-525489-A635BA      058850FZ38-3-A635BA-058850FZ38.u01	1	1377839045	1037
1040	1769	1011	1377839027	1377839067	17254	148295	2	-1	20130830000427741-02-1-2-525629--3--525629.u01	1	1377839067	1038
1041	1770	1011	1377839045	1377839086	17256	148300	1	-1	20130830000446065-02-1-1-525490-A635BA      058860FZ38-3-A635BA-058860FZ38.u01	1	1377839086	1039
1042	1769	1011	1377839067	1377839131	17254	148295	2	-1	20130830000531494-02-1-2-525630--3--525630.u01	1	1377839131	1040
1043	1770	1011	1377839086	1377839149	17256	148300	1	-1	20130830000549734-02-1-1-525491-A635BA      058870FZ38-3-A635BA-058870FZ38.u01	1	1377839149	1041
