machno lane filetype label seconds
1 1 u01 copy_file-1225-return 0.00650511579191919
2 1 u01 copy_file-1225-return 0.00679074253306613
3 1 u01 copy_file-1225-return 0.00611796629761905
4 1 u01 copy_file-1225-return 0.00608818172978304
5 1 u01 copy_file-1225-return 0.00553755508678501
1 2 u01 copy_file-1225-return 0.006724841206
2 2 u01 copy_file-1225-return 0.00706273995418327
3 2 u01 copy_file-1225-return 0.00623180682840237
4 2 u01 copy_file-1225-return 0.00602138805098039
5 2 u01 copy_file-1225-return 0.00551868808627451
1 1 u03 copy_file-1225-return 0.0120291350651731
2 1 u03 copy_file-1225-return 0.0109493888873239
3 1 u03 copy_file-1225-return 0.00812786056461233
4 1 u03 copy_file-1225-return 0.00753852786111111
5 1 u03 copy_file-1225-return 0.00570723017751479
1 2 u03 copy_file-1225-return 0.0121814375702811
2 2 u03 copy_file-1225-return 0.012030856596
3 2 u03 copy_file-1225-return 0.00837460760474308
4 2 u03 copy_file-1225-return 0.00832985803155819
5 2 u03 copy_file-1225-return 0.00561904324313725
1 1 u01 is_ok_to_process-10390-return 0.00326835372121212
2 1 u01 is_ok_to_process-10390-return 0.00338096736873747
3 1 u01 is_ok_to_process-10390-return 0.00321835993253968
4 1 u01 is_ok_to_process-10390-return 0.00337707443589744
5 1 u01 is_ok_to_process-10390-return 0.00316868471005917
1 2 u01 is_ok_to_process-10390-return 0.003252657598
2 2 u01 is_ok_to_process-10390-return 0.00332983990239044
3 2 u01 is_ok_to_process-10390-return 0.00323817149901381
4 2 u01 is_ok_to_process-10390-return 0.00325305500980392
5 2 u01 is_ok_to_process-10390-return 0.00316915043921569
1 1 u03 is_ok_to_process-10390-return 0.00348981016089613
2 1 u03 is_ok_to_process-10390-return 0.00334838201810865
3 1 u03 is_ok_to_process-10390-return 0.00340226970178926
4 1 u03 is_ok_to_process-10390-return 0.00327661908730159
5 1 u03 is_ok_to_process-10390-return 0.00328868872978304
1 2 u03 is_ok_to_process-10390-return 0.00346449309638554
2 2 u03 is_ok_to_process-10390-return 0.003386530356
3 2 u03 is_ok_to_process-10390-return 0.00343072895454545
4 2 u03 is_ok_to_process-10390-return 0.00339460359566075
5 2 u03 is_ok_to_process-10390-return 0.00318585978627451
1 1 u01 management_reset-6511-return 5.38163636363636e-07
2 1 u01 management_reset-6511-return 3.70957915831663e-07
3 1 u01 management_reset-6511-return 3.82513888888889e-07
4 1 u01 management_reset-6511-return 7.05431952662722e-07
5 1 u01 management_reset-6511-return 3.61207100591716e-07
1 2 u01 management_reset-6511-return 6.04268e-07
2 2 u01 management_reset-6511-return 3.84629482071713e-07
3 2 u01 management_reset-6511-return 5.3218540433925e-07
